,Proposed.Management.Action,District,Scale,Costing.Certainty,Average_Funding_Shortfall,Average_Filtered_Costings_Data,Count
1,,Brora,Targeted Location,Little Confidence,40000,40500,1
2,,Brora,Whole District,Very Confident,0,2000,1
3,,Cromarty,River,N/A,0,NA,1
4,,Doon,Targeted Location,Little Confidence,15000,15000,1
5,,Findhorn,Whole District,N/A,NA,NA,1
6,,Girvan,Targeted Location,Estimate,25000,25000,1
7,,Girvan,Targeted Location,Very Confident,22620,22620,2
8,,Helmsdale,Targeted Location,,NA,14000,1
9,,Ness,Whole District,Very Confident,0,6000,1
10,Angling Development,Beauly,Whole District,,NA,200,1
11,Angling Development,Brora,Whole District,Very Confident,400,900,1
12,Angling Development,Dee,River,Fairly Confident,0,10940,1
13,Angling Development,Deveron,Whole District,Fairly Confident,31000,31000,1
14,Angling Development,Don,River,Fairly Confident,0,2135,1
15,Angling Development,Esk,Whole District,Fairly Confident,0,22000,1
16,Angling Development,Forth,Whole District,Estimate,30000,60000,1
17,Angling Development,Ness,Whole District,Fairly Confident,5000,5000,1
18,Angling Development,Nith,Whole District,Very Confident,0,1.00E+05,1
19,Angling Development,Spey,River,Fairly Confident,500,1500,1
20,Angling Development,Ugie,River,Very Confident,0,2000,1
21,Angling Development,West Sutherland,Whole District,,0,NA,1
22,Barrier Mitigation,Annan,Targeted Location,Fairly Confident,0,34266.66667,3
23,Barrier Mitigation,Annan,Catchment,Fairly Confident,34000,66000,1
24,Barrier Mitigation,Argyll,Targeted Location,Fairly Confident,0,NA,1
25,Barrier Mitigation,Ayr,Targeted Location,Fairly Confident,20000,20000,1
26,Barrier Mitigation,Ayr,Targeted Location,Little Confidence,50000,50000,1
27,Barrier Mitigation,Ayr,Targeted Location,Very Confident,5740,13340,5
28,Barrier Mitigation,Beauly,Targeted Location,,NA,28200,2
29,Barrier Mitigation,Beauly,Catchment,,NA,1000,2
30,Barrier Mitigation,Caithness,River,N/A,0,NA,1
31,Barrier Mitigation,Clyde,Catchment,Estimate,40050000,40050000,1
32,Barrier Mitigation,Cree,River,N/A,NA,NA,1
33,Barrier Mitigation,Cromarty,Targeted Location,Estimate,4412.5,4412.5,2
34,Barrier Mitigation,Cromarty,Targeted Location,Fairly Confident,0,18000,2
35,Barrier Mitigation,Cromarty,Targeted Location,N/A,0,NA,1
36,Barrier Mitigation,Cromarty,Targeted Location,Very Confident,16666.66667,33083.33333,3
37,Barrier Mitigation,Cromarty,River,Fairly Confident,20000,1.00E+05,1
38,Barrier Mitigation,Cromarty,River,Little Confidence,0,55000,1
39,Barrier Mitigation,Cromarty,River,N/A,0,NA,1
40,Barrier Mitigation,Cromarty,River,Very Confident,0,182314,1
41,Barrier Mitigation,Cromarty,Catchment,Very Confident,0,20000,1
42,Barrier Mitigation,Dee,Whole District,Fairly Confident,0,5150,1
43,Barrier Mitigation,Dee (Kircudbright),Targeted Location,Fairly Confident,0,NA,1
44,Barrier Mitigation,Deveron,Targeted Location,Fairly Confident,25000,42757,2
45,Barrier Mitigation,Deveron,Catchment,N/A,35000,35900,1
46,Barrier Mitigation,Don,Whole District,Fairly Confident,0,2612.5,1
47,Barrier Mitigation,Doon,Targeted Location,Fairly Confident,7000,7000,2
48,Barrier Mitigation,Doon,Targeted Location,Little Confidence,8500,12142.85714,8
49,Barrier Mitigation,Doon,Targeted Location,Very Confident,3500,3500,1
50,Barrier Mitigation,Eachaig,Targeted Location,,NA,NA,1
51,Barrier Mitigation,Esk,Targeted Location,Estimate,NA,15000,1
52,Barrier Mitigation,Fleet (Kircudbright),River,Very Confident,10500,15750,1
53,Barrier Mitigation,Forth,Targeted Location,Estimate,380000,715000,2
54,Barrier Mitigation,Forth,Targeted Location,Very Confident,87500,97500,2
55,Barrier Mitigation,Forth,River,N/A,0,NA,1
56,Barrier Mitigation,Forth,River,Very Confident,15000,25000,1
57,Barrier Mitigation,Forth,Catchment,,460000,9.00E+05,1
58,Barrier Mitigation,Forth,Catchment,Estimate,952500,1852500,2
59,Barrier Mitigation,Forth,Catchment,Very Confident,80000,1.00E+05,1
60,Barrier Mitigation,Forth,Whole District,Estimate,6.00E+05,1110000,1
61,Barrier Mitigation,Forth,Whole District,N/A,0,NA,1
62,Barrier Mitigation,Girvan,Targeted Location,Very Confident,3000,3250,4
63,Barrier Mitigation,Girvan,Catchment,Very Confident,0,NA,1
64,Barrier Mitigation,Irvine and Garnock,Targeted Location,Estimate,183750,183750,4
65,Barrier Mitigation,Irvine and Garnock,Targeted Location,Fairly Confident,49500,51916.66667,9
66,Barrier Mitigation,Irvine and Garnock,Targeted Location,Little Confidence,114666.6667,189333.3333,3
67,Barrier Mitigation,Irvine and Garnock,Targeted Location,Very Confident,6868.421053,8421.052632,19
68,Barrier Mitigation,Kyle of Sutherland,Targeted Location,Little Confidence,9.00E+05,9.00E+05,1
69,Barrier Mitigation,Kyle of Sutherland,Catchment,Estimate,0,3.00E+05,1
70,Barrier Mitigation,Loch Lomond,Targeted Location,Estimate,6000,6200,1
71,Barrier Mitigation,Loch Lomond,Targeted Location,N/A,NA,NA,11
72,Barrier Mitigation,Loch Lomond,Targeted Location,Very Confident,10000,10000,2
73,Barrier Mitigation,Lochaber,Whole District,N/A,0,NA,1
74,Barrier Mitigation,Ness,Targeted Location,Estimate,116363.6364,207272.7273,11
75,Barrier Mitigation,Ness,Targeted Location,Fairly Confident,0,50000,1
76,Barrier Mitigation,Ness,Targeted Location,N/A,NA,NA,1
77,Barrier Mitigation,Ness,Targeted Location,Very Confident,0,10000,1
78,Barrier Mitigation,Ness,Catchment,Estimate,2000,2000,3
79,Barrier Mitigation,Ness,Catchment,Little Confidence,2000,2000,1
80,Barrier Mitigation,Nith,Targeted Location,Fairly Confident,30000,55000,1
81,Barrier Mitigation,Nith,Targeted Location,Little Confidence,30000,50000,1
82,Barrier Mitigation,Nith,Whole District,N/A,5000,10000,1
83,Barrier Mitigation,Spey,Targeted Location,Little Confidence,150000,162500,2
84,Barrier Mitigation,Spey,Whole District,N/A,0,NA,1
