"","Proposed.Management.Action","District","Average_Funding_Shortfall","Average_Filtered_Costings_Data","Count"
"1","","Girvan",22620,22620,2
"2","B","Ayr",5740,13340,5
"3","B","Cromarty",16666.6666666667,33083.3333333333,3
"4","B","Doon",3500,3500,1
"5","B","Forth",87500,97500,2
"6","B","Girvan",3000,3250,4
"7","B","Irvine and Garnock",6868.42105263158,8421.05263157895,19
"8","B","Loch Lomond",10000,10000,2
"9","B","Ness",0,10000,1
"10","B","Stinchar",5750,9000,2
"11","D","Forth",232000,439000,1
"12","F","Bladnoch",0,2000,1
"13","F","Cromarty",0,20950,2
"14","F","Dee",0,297408,1
"15","F","Doon",0,29500,1
"16","F","Girvan",12560,50150,5
"17","F","Luce",0,32000,1
"18","F","Spey",0,1100,1
"19","F","Ugie",7200,8200,1
"20","G","Girvan",11900,11900,4
"21","G","Stinchar",5000,5000,1
"22","J","Cromarty",0,2100,1
"23","J","Esk",0,5000,1
"24","J","Nith",0,10000,1
"25","J","Tay",0,30000,1
"26","L","Doon",6000,6000,1
"27","L","Kyle of Sutherland",0,12000,3
"28","L","Northern",550,20550,1
"29","L","Spey",0,2000,1
"30","L","Ugie",0,7000,1
"31","L ","Dee (Kircudbright)",0,2000,1
"32","M","Bladnoch",5000,7000,2
"33","M","Fleet (Kircudbright)",5000,6000,2
"34","N","Spey",1700,3900,1
"35","O","Ayr",1000,8000,1
"36","O","Bladnoch",15000,21000,1
"37","O","Luce",24000,30000,1
"38","P","Spey",10000,38750,2
"39","Q","Dee",0,148704,1
"40","Q","Doon",6900,20700,1
"41","Q","Girvan",29308.4,33036.4,10
"42","Q","Stinchar",47963.2,47963.2,10
"43","Q","Tweed",0,5000,1
"44","R","Nith",0,50000,1
"45","S","Dee",0,297408,1
