ObjectID,Proposed Management Action,Strategy,Scale,Resources,Data Requirements,Lead Organisation,Potential Partners,Capital Cost,In-Kind Contributions,Maintainance Required,Annual Cost,Funding Available,Completion Date,District,Costing Certainty,Funding Shortfall,Funding_Status_TRUE,Shortfall_Captial,Shortfall_In-Kind,Shortfall_Annual,Conditioned_Total_Costings,Combined_Costings,Choosing the Costing Variable,Filtered_Costings_Data
3525,B,To use Clyde River Foundation (CRF) data to identify barriers and to inform river managers of the necessity to remove or ease them. Our data provide an independent assessment of the distribution of salmon across the catchment. Once identified we will part,4,None,"Scottish Environmental Protection Agency (SEPA) Barrier layer, Clyde River Foundation habitat and fishery data, Local angling clubs and associations catch returns.",Scottish Environmental Protection Agency,"Riparian Owners, Local Authorities, Local angling clubs and associations, Marine Directorate, Fisheries Management Scotland, River Clyde Fisheries Mangement Trust, Clyde River Foundation and private finance.",40000000,1000000,Yes,50000,Partially Funded,More than 5 Years,Clyde,Estimate,40050000,Funded,No,No,No,81100000,41050000,81100000,40050000
3185,Q,The Findhorn Watershed Initiative has been established to develop catchment wide habitat improvements and facilitate a multi generational approach.,4,https://findhornwatershed.com/,"Land use and tree cover, deer densities, suitability of soil for tree planting, appropriate tree species, seedling surveys, tree shading locations, river temperature, invertebrate data, fish data, forestry plans, land ownership data, deer population data.",FNLRT,"Findhorn DSFB,  Landowners, FLS, Riverwoods, NaureScot, SEPA,  Marine Scotland, Monadhliath Deer Management Group, Private companies",20000000,20000,Yes,100000,Partially Funded,More than 5 Years,Findhorn,Fairly Confident,18500000,Funded,No,No,No,38620000,20120000,38620000,38620000
7786,D,Development and delivery of restoration projects,4,"Examples are
https://forthriverstrust.org/project/teith-restoration-initiative/
https://storymaps.arcgis.com/stories/3c390e6da9dc41d2bdd7086949f0c03e
https://www.callanderslandscape.org/restoring-our-rivers-leny-burn/
https://forthriverstrust.org/project/river-larig-riparian-woodland-project/
https://forthriverstrust.org/project/stroneslaney-riparian-tree-planting/
https://www.callanderslandscape.org/brash-banking-on-the-river-teith/","Water temperature logs
Water gauge readings
LiDAR data
Ground level readings
Peat depth data
Morphological walkover survey data
River Habitat Survey (RHS) data
Digital terrain model from UAV (drone)
Orthomosaic from UAV (drone)
Animal population data (electrofishing, invertebrate samples, eDNA, etc.)",Forth Rivers Trust,"Loch Lomond & The Trossachs National Park
Nature Scot
Landowners",15000000,50000,Yes,150000,Partially Funded,More than 5 Years,Forth,Estimate,15400000,Funded,No,No,No,30600000,15200000,30600000,30600000
7785,D,Development and delivery of projects which improve the catchment,4,https://forthriverstrust.org/project/allan-water-project/,"Water temperature logs
Water gauge readings
LiDAR data
Ground level readings
Peat depth data
Morphological walkover survey data
River Habitat Survey (RHS) data
Digital terrain model from UAV (drone)
Orthomosaic from UAV (drone)
Animal population data (electrofishing, invertebrate samples, eDNA, etc.)",Forth Rivers Trust,"SEPA
Local Authorities
Landowners
Forestry Scotland
Scottish Government
Business",15000000,20000,Yes,50000,Partially Funded,Annual,Forth,Estimate,15100000,Funded,No,No,No,30170000,15070000,30170000,30170000
2485,M,Advocate for native riverbank woodland restoration with a range of local stakeholders and landowners. Influence the design of new woodlands and encourage a sustainable approch to herbivore management.,5,https://kylefisheries.org/riverwoods/,A range of ecological surveys are required in advance of native woodland restoration works,KoSFT,"Private landowners, Forestry & Land Scotland, Woodland Trust,",14000000,2000000,Yes,500000,Partially Funded,More than 5 Years,Kyle of Sutherland,Estimate,14500000,Funded,No,No,No,31000000,16500000,31000000,31000000
7790,D,Development and delivery of a project,4,https://forthriverstrust.org/bathgate-maps-and-plans/,"Water temperature logs
Water gauge readings
LiDAR data
Ground level readings
Peat depth data
Morphological walkover survey data
River Habitat Survey (RHS) data
Digital terrain model from UAV (drone)
Orthomosaic from UAV (drone)
Animal population data (electrofishing, invertebrate samples, eDNA, etc.)",West Lothian Council,"Forth Rivers Trust
SEPA
Sustrans",10000000,200000,Yes,50000,Partially Funded,Within 5 Years,Forth,Very Confident,10800000,Funded,No,No,No,21050000,10250000,21050000,21050000
7783,Q,Development and delivery of riparian tree planting projects,5,https://forthriverstrust.org/science/data-collection/temperature-monitoring/ ,"Aerial imagery for planting opportunity identification
Historical temperature logs and locations",Forth Rivers Trust,"Loch Lomond & The Trossachs National Park
Landowners
NatureScot
Marine Directorate",10000000,50000,Yes,150000,Partially Funded,Annual,Forth,N/A,10400000,Funded,No,No,No,20600000,10200000,20600000,20600000
7801,I,Easement of fish passage,5,https://storymaps.arcgis.com/stories/dc03bc7442ac4768b3e0b7b9bdafedf3#ref-n-LpshkX,"Structure dimensions
LiDAR data
Level readings
Morphological walkover survey data
River Habitat Survey (RHS) data
Digital terrain model from UAV (drone)
Orthomosaic from UAV (drone)
Animal population data (electrofishing, invertebrate samples, eDNA, etc.)",SEPA,"Forth Rivers Trust
Forth District Salmon Fishery Board
Local Authorities
Landowners",10000000,15000,No,0,Unfunded,More than 5 Years,Forth,Estimate,10050000,Unfunded,No,No,No,20065000,10015000,20065000,20065000
2496,D,"Investigate, alongisde SSE, different possible trap appartus that would ensure maximum smolt capture efficiency.",3,https://kylefisheries.org/wp-content/uploads/2023/03/P7377-APEM-River-Tirry-Preliminary-Costing-Report-v2.1.pdf,"Aquatic surveys,  Terrestrial surveys,  Ornithology surveys, Environmental Assessments,  Archaeology/Heritage surveys",KoSDSFB,"SSE, SEPA",6860227,0,Yes,0,,Annual,Kyle of Sutherland,Estimate,6860227,Unfunded,Yes,No,No,,6860227,6860227,6860227
2484,G,Advocate for peatland restoration with a range of local stakeholders and landowners. Encourage a sustainable approch to deer management to allow restored peatlands to thrive.,5,https://www.nature.scot/climate-change/nature-based-solutions/peatland-action-project/peatland-action-what-we-do,Peatland restoration feasability surveys,KoSFT,"Peatland Action, Forestry & Land Scotland, Private landowners",5250000,0,No,0,Partially Funded,More than 5 Years,Kyle of Sutherland,Estimate,5250000,Funded,Yes,No,No,,5250000,5250000,5250000
2100,Q,"Map areas with potential for increasing riparian woodland regeneration. Encourage reduction in grazing pressure where it is inhibiting regeneration of trees. Build support for riparian tree planting with land magers, by working with Scottish Land & Estates and Wildlife Estates Scotland initiative to provide guidance and hold events. Work with estates, landowners and land magers to access Forestry Grant Schemes (FGS) to deliver large-scale riparian tree planting and plant 55,000 trees each year. Key target areas are the upper tributaries - Gairn, Geldie, Tar, Clunie and Ey, and the main stem Dee above Lui burn. The Trust will raise funds through the one million trees campaign to fund delivery of large-scale tree planting enclosures where FGS cannot be accessed. Mob tree planting will be used in areas with relatively low grazing pressure and with no appropriate seed source nearby, focusing on less palatable species such as alder.",4,"NMPI - priority planting areas for shading, https://www.youtube.com/watch?v=JTfDa8TzxEU, https://www.youtube.com/watch?v=wW_h4VqXjJE&t=1s, https://www.youtube.com/watch?v=az6o69aiP2g",Priority areas for tree planting (ScotGov NMPI),Dee DSFB,"Scottish Land and Estates, GWCT, Cairngorms tiol Parks Authority",0,0,Yes,0,Unfunded,More than 5 Years,Dee,Estimate,5000000,Unfunded,No,No,No,5000000,0,5000000,5000000
