ObjectID,Title,Description,Pressure,Multiple Pressures,Current Status,Priority,Objective,Proposed Management Action,Strategy,"Scale:  5=District, 4=catchment, 3=river, 2=coastal, 1=local",Resources,Data Requirements,Lead Organisation,Potential Partners,Capital Cost,In-Kind Contributions,Maintainance Required,Annual Cost,Funding Available,Completion Date,Challenges and Constraints,Easting,Northing,Image URL,Review Status,Review Progress,Review Cost,Review Description,Review Challenges,Last Reviewed,District,District ID,Action ID,GlobalID,Primary Funding Organisation,Costing Certainty,Funding Shortfall,x,y
1,Tree planting or regen in upper catchment,"Water temperatures are predicted to increase, especially in small, high altitude burns. We can encourage landowners in the high priority management areas (SRTMN map) to plant riparian trees (native, deciduous, of local origin) or allow natural regeneration",Water Temperature,Instream and riparian habitat,Initiated,High,"Having hosted a landowner engagement evening (Feb 2022) with Riverwoods to highlight funding and support for landowners in the area, build on this through exploring further sources of local funding e.g. Tomich windfarm. Speak to all landowners in the high risk areas and link them up with funding where possible. Work with TFL project Officer to get tree plans and FGS applications submitted.",D,"Local engagement with local funders and landowners, Link landowners with trees for life project officer",4,https://drive.google.com/file/d/1KujlrX9hbjv-hqaKBqnt97w51_BF0gTb/view?usp=share_link,Scottish River Temperature Monitoring Network maps on NMPi,Beauly Fishery Board,"Trees for Life, SSEN",0,1400,No,0,Unfunded,Within 2 Years,Landowner willingness and TFL staffing,220776,838404,https://drive.google.com/file/d/1npj_DXB9zKckV5HNccZZs0LQwP4PfY0e/view?usp=share_link,,,,,,,Beauly,FD04,MA0001,e8a1e459-7767-4e13-bb53-91b072b6524b,,,,-4.984585601,57.40068632
2,Strategic flow management,"SSE have the opportunity to control  river flows in the catchment, not just for hydro power generation but for wider ecological benefits (e.g. keeping the river flowing in water scarcity years and in the context of climate change, smolt passage, adult passage and fish habitat etc) to ease the pressure on fish. This is in line with SSE's biodiversity agenda.",Multiple,,Ongoing,Medium,Work with SSE to help ease the pressures on fish and wider biodiversity through flow alteration. ,S,Liase with SSE and SEPA when necessary,4,https://drive.google.com/file/d/1hheqTtZVABHyycjym7lCDCruDuNHDKnX/view?usp=share_link,,Beauly Fishery Board,"SSE, SEPA, FMS",0,1400,No,0,Unfunded,Annual,Regulation and SSE willingness,249406,844235,https://drive.google.com/file/d/1RxW3qBpFOkYlV40s5YfGFlax4rY6_qMC/view?usp=share_link,,,,,,,Beauly,FD04,MA0002,9ee3c49c-fc42-4330-948c-76bd30f8e9e6,,,,-4.512230993,57.46339755
3,Peatland Restoration,Healthy peatlands store carbon. Drained and damaged peatland release carbon and can cause poor water quality.,Water Quality,Instream and riparian habitat,Planned,Low,Encourage landowners to carry out peatland restoration,M,Local engagement with local landowners,4,,NatureScot GIS layers,Beauly fishery board,"Landowners, NatureScot Peatland Action",0,1400,No,0,Unfunded,More than 5 Years,"Staffing, Landowner willingness",239165,845768,https://drive.google.com/file/d/1-eizj0OTmEieFVfIgPUffOrn7_xkPbDy/view?usp=share_link,,,,,,,Beauly,FD04,MA0003,ab9c06b6-a4dc-4e75-a78a-5430bed1e274,,,,-4.683763925,57.47363835
4,Reduce our carbon footprint,"As climate change is the number one cause of salmon decline, we have a duty to work conscientiously and in line with our Environmental policy.",Multiple,,Ongoing,Medium,"Work to reduce BFB’s carbon footprint through responsible procurement, efficient work journeys, using the correct vehicle for the job, recycling etc",N,Board policy and staff engagemnet ,4,https://docs.google.com/document/d/17h4fadHwVA_k169BY7a6oxD6jgZY96KT/edit?usp=share_link&ouid=108201695711111408275&rtpof=true&sd=true,,Beauly fishery board ,,0,0,No,0,Unfunded,Within 3 Years,Team motivation,251576,844903,https://drive.google.com/file/d/1yNBoMQ21-Lxzg0JhYZnQTir9H_zX7jim/view?usp=share_link,,,,,,,Beauly,FD04,MA0004,a9d6f627-b651-4281-bdfd-3bbcdbe105f6,,,,-4.476498696,57.47010755
5,Explore what natural nutrient levels should look like,"The decline in adult spawner numbers and land-use practice may have resulted in there being less nutrients compared to natural levels in the freshwater environment, and less productivity than previous",Water Quality,Lack of nutrients,Planned,Medium,Explore how present nutrient levels in the upper catchment compare to historic nutrient levels (pre-industrial). Look at relevant core sample info and NEPS water sampling results (Nitrate and Phosphate).,D,Gather data from external organisations ,4,National Electrofishing Programme for Scotland - gov.scot (www.gov.scot),,Beauly Fishery Board,Marine Scotland - SEPA,0,700,No,0,Unfunded,Within 3 Years,Staff time,255237,847925,https://drive.google.com/file/d/1sfwlAQhy_nO-tIOif3KjjVpDr6mAsN7Y/view?usp=share_link,,,,,,,Beauly,FD04,MA0005,08840de9-eb7d-4e55-a563-8ea6fbde76dd,,,,-4.417308708,57.49841246
6,Invertebrate monitoring,"The decline in adult spawner numbers and land-use practice may have resulted in there being less nutrients compared to natural levels in the freshwater environment, and less productivity than previous",Instream and Riparian Habitat,Lack of nutrients,Ongoing,Medium,Assess the current availability of food to juvenile fish through invertebrate monitoring.,L,Carry out monitoring on an ad-hoc basis,4,,,Beauly Fishery Board,"SFCC, SEPA",7500,700,No,0,Unfunded,Within 4 Years,"Staff time, and funding for TL2 analysis",255294,847921,https://drive.google.com/file/d/1EQR2uNK6IFbAID_AV7bcsMCZb74MXAs4/view?usp=share_link,,,,,,,Beauly,FD04,MA0006,77d2d124-5fdf-44ea-94c4-83b2422297db,,,,-4.416356134,57.49839477
7,Effective Bailiffing across the catchment,"Bailiffing has found evidence of illegal fishing throughout the catchment. At the end of each season a review is conducted, highlighting areas to work on",Illegal Exploitation,,Ongoing,High,"Continue employing at least one bailiff over the season (and a Seasonal bailiff if necessary/ budget allows). Work on implementing the recommendations highlighted at the end of each season . These include: Improving permitting throughout the catchment. Retain a high profile and good relationships with Police Scotland, anglers, ghillies, bailiffs and neighbouring catchments. Work with Marine Scotland Compliance and gather more evidence about illegal RIB and netting activity on the firth.",E,"Engagement with anglers , ghillies , Water bailiffs, Police Scotland, and Marine Scotland compliance",5,,Beauly Fishery Board,Beauly Fishery Board,"Police Scotland, Marine Scotland cmplicance, FMS, Ness and Cromarty bailiffs, Proprietors",0,41000,No,41000,Funding Secured,Annual,Board funding,265395,847888,https://drive.google.com/file/d/1V4fQ9aqiBRiIc3MG6FJlTuoxT15C6cTF/view?usp=share_link,,,,,,,Beauly,FD04,MA0007,22aa6901-1040-4c81-8ecc-8f8f20259172,,,,-4.247935063,57.50121255
8,Improve smolt survival at Aigas and Kilmorack dams,"If turbines are run at a a higher load during the smolt run it is less likely smolts may get trapped in the gate slots, so working with SSE on an agreed flow protocol, and monitoring smolt run timing improves smolt survival during this sensitive period.",Obstacles to Fish Passage,Predation,Ongoing,High,Continue to review and improve the smolt flows and rescue protocol with SSE and SEPA on an annual basis or as necessary. Monitor smolt run timing and water temperature to aid prediction of when smolts will run. Mark-recapture work to be done where possible to assess trap efficiency. Adapt smolt monitoring as knowledge improves. Work with LBFS ghillies and anglers to improve reporting of possible smolt mortality in association with the dams.,B,Work with SSE on monitoring of smolts,1,2022-Beauly-Smolt-report.pdf (dsfb.org.uk),,Beauly Fishery Board ,SSE and SEPA,30000,13000,No,13000,Partially Funded,Annual,Relationship with SSE and staffing,249425,844233,https://drive.google.com/file/d/1upwY7BrYfzr2Imr6Qui5ZAAcEzTVse6Y/view?usp=share_link,,,,,,,Beauly,FD04,MA0008,8efa7429-f39b-4d59-8b8a-de9607534201,,,,-4.511913353,57.46338591
9,Assess smolt behaviour at dams,Currently smolt behaviour and survival in relation to all dams in the catchment is unknown.,Obstacles to Fish Passage,predation,Planned,Medium,"Assess smolt behaviour and survival in relation to the dams using acoustic tagging (or equivalent, less invasive techniques). Use findings to push for mitigation measures if necessary (SSE, SEPA).",L,Train staff in tagging methods. Work with SSE and FMS,1,,,Beauly Fishery Board,"SSE, FMS and Marine Scotland",45000,15000,No,,Unfunded,Within 4 Years,"Funding, staff training",247414,843662,https://drive.google.com/file/d/13mTmMRvP8A7zotPjH3OQCS-LwZHV77Mp/view?usp=share_link,,,,,,,Beauly,FD04,MA0009,404cc4d3-c903-44d2-953b-061a27b0fe9e,,,,-4.545045579,57.45758993
10,National smolt project,Currently the physiological stress/disorientation/ resultant survival of smolts going through turbines is unknown,Obstacles to Fish Passage,predation,Planned,Low,BFB will liaise with FMS hydro group to request a national project to look at the survival of smolts going through Kaplan turbines.,D,Work with FMS,1,,,FMS,FMS - SSE and Marine Scotland,45000,10000,No,0,Unfunded,More than 5 Years,Staff expertise and funding,247434,843657,https://drive.google.com/file/d/1UzV7AzcoGnGKr_6aO0j0j15oPZyhXzHt/view?usp=share_link,,,,,,,Beauly,FD04,MA0010,d6e06255-9b3a-4c89-9830-f4ed48966df3,,,,-4.54470946,57.45755179
