"","Proposed.Management.Action","District","Scale","Costing.Certainty","Average_Funding_Shortfall","Average_Filtered_Costings_Data","Count"
"1","","Brora","1","Little Confidence",40000,40500,1
"2","","Brora","5","Very Confident",0,2000,1
"3","","Cromarty","3","N/A",0,NA,1
"4","","Doon","1","Little Confidence",15000,15000,1
"5","","Findhorn","5","N/A",NA,NA,1
"6","","Girvan","1","Estimate",25000,25000,1
"7","","Girvan","1","Very Confident",22620,22620,2
"8","","Helmsdale","1","",NA,14000,1
"9","","Ness","5","Very Confident",0,6000,1
"10","A","Beauly","5","",NA,200,1
"11","A","Brora","5","Very Confident",400,900,1
"12","A","Dee","3","Fairly Confident",0,10940,1
"13","A","Deveron","5","Fairly Confident",31000,31000,1
"14","A","Don","3","Fairly Confident",0,2135,1
"15","A","Esk","5","Fairly Confident",0,22000,1
"16","A","Forth","5","Estimate",30000,60000,1
"17","A","Ness","5","Fairly Confident",5000,5000,1
"18","A","Nith","5","Very Confident",0,1e+05,1
"19","A","Spey","3","Fairly Confident",500,1500,1
"20","A","Ugie","3","Very Confident",0,2000,1
"21","A","West Sutherland","5","",0,NA,1
"22","B","Annan","1","Fairly Confident",0,34266.6666666667,3
"23","B","Annan","4","Fairly Confident",34000,66000,1
"24","B","Argyll","1","Fairly Confident",0,NA,1
"25","B","Ayr","1","Fairly Confident",20000,20000,1
"26","B","Ayr","1","Little Confidence",50000,50000,1
"27","B","Ayr","1","Very Confident",5740,13340,5
"28","B","Beauly","1","",NA,28200,2
"29","B","Beauly","4","",NA,1000,2
"30","B","Caithness","3","N/A",0,NA,1
"31","B","Clyde","4","Estimate",40050000,40050000,1
"32","B","Cree","3","N/A",NA,NA,1
"33","B","Cromarty","1","Estimate",4412.5,4412.5,2
"34","B","Cromarty","1","Fairly Confident",0,18000,2
"35","B","Cromarty","1","N/A",0,NA,1
"36","B","Cromarty","1","Very Confident",16666.6666666667,33083.3333333333,3
"37","B","Cromarty","3","Fairly Confident",20000,1e+05,1
"38","B","Cromarty","3","Little Confidence",0,55000,1
"39","B","Cromarty","3","N/A",0,NA,1
"40","B","Cromarty","3","Very Confident",0,182314,1
"41","B","Cromarty","4","Very Confident",0,20000,1
"42","B","Dee","5","Fairly Confident",0,5150,1
"43","B","Dee (Kircudbright)","1","Fairly Confident",0,NA,1
"44","B","Deveron","1","Fairly Confident",25000,42757,2
"45","B","Deveron","4","N/A",35000,35900,1
"46","B","Don","5","Fairly Confident",0,2612.5,1
"47","B","Doon","1","Fairly Confident",7000,7000,2
"48","B","Doon","1","Little Confidence",8500,12142.8571428571,8
