"","Proposed.Management.Action","District","Average_Funding_Shortfall","Average_Filtered_Costings_Data","Count"
"1","A","Ugie",0,2000,1
"2","B","Cromarty",0,182314,1
"3","B","Fleet (Kircudbright)",10500,15750,1
"4","B","Forth",15000,25000,1
"5","D","Ness",0,5e+05,1
"6","E","Deveron",0,23758,1
"7","E","Ness",0,60000,1
"8","F","Dee (Kircudbright)",0,180000,1
"9","F","Girvan",3000,5500,2
"10","F","Loch Lomond",20000,22000,1
"11","F","Stinchar",5000,5000,1
"12","F","Ugie",9600,11600,2
"13","G","Deveron",60000,60000,1
"14","G","Girvan",89066.6666666667,89066.6666666667,3
"15","J","Bladnoch",0,2000,1
"16","J","Dee",4500,28292,1
"17","J","Deveron",3320,5517.5,2
"18","J","Don",4500,14146,1
"19","J","Nith",0,60000,1
"20","K","Girvan",0,NA,1
"21","K","Ness",0,1000,1
"22","L","Bladnoch",3000,5100,2
"23","L","Cromarty",0,5000,3
"24","L","Dee",0,1310,1
"25","L","Don",0,1062.5,1
"26","L","Fleet (Kircudbright)",3000,3000,1
"27","L","Luce",0,3000,1
"28","L","Spey",0,8000,2
"29","N","Dee",5000,12700,1
"30","N","Don",5000,6312.5,1
"31","O","Cromarty",0,35000,1
"32","O","Ness",0,5000,2
"33","O","Ugie",0,1000,1
"34","P","Caithness",0,NA,1
"35","P","Dee (Kircudbright)",0,70000,1
"36","P","Loch Lomond",10000,20000,1
"37","P","Skye",0,20000,1
"38","P","Tweed",0,25825,2
"39","Q","Cromarty",0,2000,1
"40","Q","Dee (Kircudbright)",0,10000,1
"41","Q","Ness",0,2000,1
