"","ObjectID","Proposed.Management.Action","Strategy","Scale","Resources","Data.Requirements","Lead.Organisation","Potential.Partners","Capital.Cost","In.Kind.Contributions","Maintainance.Required","Annual.Cost","Funding.Available","Completion.Date","District","Costing.Certainty","Funding.Shortfall","Funding_Status_TRUE","Shortfall_Captial","Shortfall_In.Kind","Shortfall_Annual","Conditioned_Total_Costings","Combined_Costings","Choosing.the.Costing.Variable","Filtered_Costings_Data"
"72",1936,"I","Lobby for inclusion of riparian planting as a priority for future iterations of WGS.","4","","","Landowner with assistance from the DSFB","FMS, Woodland Trust, etc.",0,0,"Yes",0,"Unfunded","Within 3 Years","Brora","Very Confident",0,"Unfunded","No","No","No",NA,0,0,NA
"95",1959,"L","Continual monitoring, develop plan for survey work and structure.","4","DSFB","","DSFB","DSFB",0,10000,"",0,"Unfunded","Annual","Brora","Very Confident",0,"Unfunded","No","No","No",NA,10000,10000,10000
"96",1960,"","BDSFB staff should receive ongoing training to maintain or increase skills for delivery of required tasks in relation to management and information gathering.","5","DSFB and local community","","DSFB","DSFB",0,2000,"",0,"Funding Secured","Annual","Brora","Very Confident",0,"Funded","No","No","No",2000,2000,2000,2000
"97",1961,"A","Angling training days, free fly rod for under 18's to borrow for the season, free fishing permits and school trips.","5","DSFB","","DSFB & Local community","DSFB & Local community",0,500,"",0,"Funding Secured","Annual","Brora","Very Confident",400,"Funded","No","No","No",900,500,900,900
"98",2044,"N","Working with  the SISI project to engage with local communities and volunteers to treat and monitor INNS within the district","5","","Landownership, INNS distribution","SISI (Nature Scot)","",15000,0,"Yes",15000,"Funding Secured","Annual","Cromarty","Very Confident",0,"Funded","No","No","No",30000,30000,30000,30000
"104",2053,"B","Assess size of boulders and employ suitable strategy to clear the pass entrance","1","","spawning success and juvenile recruitment upstream of the fish pass","CFDSB","Strathconon Estate",1000,0,"Yes",250,"Unfunded","Within 1 Year","Cromarty","Very Confident",0,"Unfunded","No","No","No",NA,1250,1250,1250
"107",2056,"F","Long term disruption to sediment transport due to Orrin dam has left part of the lower Orrin devoid of suitable spawning substrate. This SSE funded project aims at reintroducing a significant volume of gravel back into the river below the dam available gravel within the river","1","","Hydromorphology report, flow regime, freshet allowance","CFDSB","SSE, SEPA",40000,0,"Yes",400,"","Within 2 Years","Cromarty","Very Confident",0,"Unfunded","No","No","No",NA,40400,40400,40400
"110",2069,"F","Working with the local estate, introduce rootplates and salmon carcasses in a small reach of the Rannoch Burn","1","","Baseline juvenile sizes and densities. Location of stocking sites. Eggs put down","Local DSFB","Strathvaich Estate",1500,0,"No",0,"Unfunded","Within 5 Years","Cromarty","Very Confident",0,"Unfunded","No","No","No",NA,1500,1500,1500
"117",2063,"G","Maintain effective bailiffing strategy and increase educational efforts across the district","5","","Internal bailiffing records","DSFB","Police Scotland",0,0,"Yes",50000,"Funding Secured","Annual","Cromarty","Very Confident",0,"Funded","No","No","No",50000,50000,50000,50000
"118",2064,"J","Under license undertake a program of bird management through shooting to scare, with lethal reinforcement if required","5","","Monthly counts of birds along the mainstem of the rivers Conon and Alness.","Local DSFB","Ghillies, Angling Association",0,0,"Yes",6000,"Funding Secured","Annual","Cromarty","Very Confident",0,"Funded","No","No","No",6000,6000,6000,6000
"119",2073,"B","To install and operate a Whoosh Innovations electronic guidance curtain to assist smolt navigation through Loch Meig and into the fish pass","1","","Natural' survival rate through reserviors. ","","SSE, Strathconon Estate",45000,0,"No",3000,"Funding Secured","Within 3 Years","Cromarty","Very Confident",0,"Funded","No","No","No",48000,48000,48000,48000
"123",2078,"B","Apply for grant funding to cover the costs of flood risk assessment, hydrology and physical removal of the weir","1","","SEPA flood risk, Hydromorphology etc.","Local DSFB","Balnagowan estate, SEPA, CRC, CBEC",50000,0,"No",0,"","Within 5 Years","Cromarty","Very Confident",50000,"Unfunded","Yes","No","No",NA,50000,50000,50000
"125",2071,"B","Capture of smolts in wolf and rotary screw traps, transport downstream of major hydro in aerated water transport tanks","4","","numbers of adults returning from sea. Estimates of sea survival","DSFB","SSE, Strathconon Estate",10000,0,"Yes",10000,"Funding Secured","N/A","Cromarty","Very Confident",0,"Funded","No","No","No",20000,20000,20000,20000
"127",2080,"J","To look into the feasability of capturing pike for a sterilisation trial. ","1","","Knowledge on legislation, number and sizes of pike present at the location ","Local DSFB","Strathconon estate",2000,0,"No",100,"","Within 5 Years","Cromarty","Very Confident",0,"Unfunded","No","No","No",NA,2100,2100,2100
"130",2076,"J","Under license undertake a program of bird management through shooting to scare, with lethal reinforcement if required","5","","Monthly counts of birds along the mainstem of the rivers Conon and Alness.","Local DSFB","Ghillies, Angling Association",0,0,"Yes",6000,"Funding Secured","Annual","Cromarty","Very Confident",0,"Funded","No","No","No",6000,6000,6000,6000
"131",2103,"Q","Create tive woodland along the riparian zone of the Geldie Burn. Aim is establish tree cover to restore shade over parts of the river and help mitigate rising water temperatures predicted by climate change modelling, stabilise banks and encourage input of leaf litter, invertebrates and woody debris to benefit aquatic and terrestrial biodiversity. Once implemented, this will contribute to the creation of a major wooded habitat link, increasing connectivity at a landscape scale between the two major river catchments of the Dee and the Spey. Working with estates, landowners and land magers to access Forestry Grant Schemes (FGS) to secure funding and deliver the restoration.","1","https://www.youtube.com/watch?v=wW_h4VqXjJE&t=1s, https://www.youtube.com/watch?v=az6o69aiP2g","","Dee DSFB","tiol Trust for Scotland, Mar Lodge, Cairngorms tiol Parks Authority",1000,147704,"Yes",0,"Funding Secured","Within 2 Years","Dee","Very Confident",0,"Funded","No","No","No",148704,148704,148704,148704
"132",2104,"F","A collaborative approach between several organisations and landowners/land magers lead by the DDSFB to facillitate the restoration works to install LWS, log jams, debris dams and wader scrapes, securing funding through ture Restoration Fund (NRF)","1","https://www.youtube.com/watch?v=Wbw4bbzc8KY&t=26s","","Dee DSFB","Local land magers",2000,295408,"Yes",0,"Funding Secured","Within 2 Years","Dee","Very Confident",0,"Funded","No","No","No",297408,297408,297408,297408
"134",2105,"S","With funding secures through the ture Restoration Fund. Restoration will be guided by specialist advice from ecoengineers, and will involve the removal of placed stones currently blocking access to flowing water.","1","","","Dee DSFB","",2000,295408,"Yes",0,"Funding Secured","Within 2 Years","Dee","Very Confident",0,"Funded","No","No","No",297408,297408,297408,297408
"135",2081,"G","To collect local seed source, germinate and grow on native trees on site at Contin hatchery.","5","","","Local DSFB","Forestry Land Scotland",4000,0,"Yes",200,"Unfunded","Within 5 Years","Cromarty","Very Confident",0,"Unfunded","No","No","No",NA,4200,4200,4200
"136",2154,"M","The role of the GFT/BDSFB is too work with FLS to prioritise peatland restoration at Tannylaggie.  GFT will also collect suitable data to identify where else peatland restoration would improve water quality.  Using this information, encourage forestry interests to include peatland restoration in the relevant forestry plans and to undertake peatland restoration at a meaningful scale.  Ensure Tannylaggie Peatland Restoration is well monitored.","1","https://www.nathonjones.com/files/2020%20GFT%E2%80%99s%20annual%20water%20quality%20monitoring%20report%20on%20behalf%20of%20Peatland%20Action%20JR.pdf","Once areas have been prioritised then further peat depth surveys may need undertaken.","GFT","BDSFB, FLS, NatureScot",0,0,"No",2000,"Partially Funded","More than 5 Years","Bladnoch","Very Confident",5000,"Funded","No","No","No",7000,2000,7000,7000
