"","Proposed.Management.Action","District","Average_Funding_Shortfall","Average_Filtered_Costings_Data"
"1","A","Ugie",0,2000
"2","B","Cromarty",0,182314
"3","B","Fleet (Kircudbright)",10500,15750
"4","B","Forth",15000,25000
"5","D","Ness",0,5e+05
"6","E","Deveron",0,23758
"7","E","Ness",0,60000
"8","F","Dee (Kircudbright)",0,180000
"9","F","Girvan",3000,5500
"10","F","Loch Lomond",20000,22000
"11","F","Stinchar",5000,5000
"12","F","Ugie",9600,11600
"13","G","Deveron",60000,60000
"14","G","Girvan",89066.6666666667,89066.6666666667
"15","J","Bladnoch",0,2000
"16","J","Dee",4500,28292
"17","J","Deveron",3320,5517.5
"18","J","Don",4500,14146
"19","J","Nith",0,60000
"20","K","Girvan",0,NA
"21","K","Ness",0,1000
"22","L","Bladnoch",3000,5100
"23","L","Cromarty",0,5000
"24","L","Dee",0,1310
"25","L","Don",0,1062.5
"26","L","Fleet (Kircudbright)",3000,3000
"27","L","Luce",0,3000
"28","L","Spey",0,8000
"29","N","Dee",5000,12700
"30","N","Don",5000,6312.5
"31","O","Cromarty",0,35000
"32","O","Ness",0,5000
"33","O","Ugie",0,1000
"34","P","Caithness",0,NA
"35","P","Dee (Kircudbright)",0,70000
"36","P","Loch Lomond",10000,20000
"37","P","Skye",0,20000
"38","P","Tweed",0,25825
"39","Q","Cromarty",0,2000
"40","Q","Dee (Kircudbright)",0,10000
"41","Q","Ness",0,2000
