"","Proposed.Management.Action","District","Average_Funding_Shortfall","Average_Filtered_Costings_Data","Count"
"1","B","Cromarty",0,20000,1
"2","B","Forth",80000,1e+05,1
"3","B","Girvan",0,NA,1
"4","B","Stinchar",1000,2000,1
"5","D","Doon",0,11000,1
"6","D","Forth",4205000,8205000,3
"7","D","Ness",0,6500,1
"8","E","Deveron",0,1684,1
"9","E","Ness",0,60000,1
"10","F","Ayr",169300,169300,3
"11","F","Ness",0,50000,1
"12","F","Nith",75000,150000,1
"13","G","Ayr",85894.6842105263,85894.6842105263,19
"14","H","Ayr",20000,20000,1
"15","H","Fleet (Kircudbright)",0,1050,1
"16","H","Girvan",30000,30000,1
"17","H","Ugie",0,2500,1
"18","I","Bladnoch",0,1000,1
"19","I","Brora",0,NA,1
"20","I","Fleet (Kircudbright)",0,1000,1
"21","J","Deveron",0,89621.97,1
"22","J","Findhorn",0,4000,1
"23","K","Forth",150000,160000,1
"24","L","Brora",0,10000,1
"25","L","Doon",6333.33333333333,13500,3
"26","L","Lochaber",0,NA,1
"27","L","Northern",3000,11625,2
"28","L","Skye",6000,28000,1
"29","N","Clyde",75000,175000,1
"30","N","Forth",0,250000,1
"31","O","Deveron",0,89621.97,1
"32","O","Fleet (Kircudbright)",20000,26000,1
"33","O","Loch Lomond",15000,30000,4
"34","O","Ness",0,5000,2
"35","O","Nith",5000,45000,3
"36","O","Spey",0,9000,2
"37","P","Tweed",0,81400,1
"38","Q","Ayr",142000,142000,1
"39","Q","Ness",0,2000,1
"40","Q","Stinchar",73320,73320,1
